"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2018","7,263,000","7,268,000","7,350,000","7,109,000","2.76K","-0.48%"
"Jun 15, 2018","7,298,000","7,360,000","7,384,000","7,228,000","5.37K","-0.77%"
"Jun 14, 2018","7,355,000","7,031,000","7,380,000","6,981,000","7.53K","4.61%"
"Jun 13, 2018","7,031,000","7,348,000","7,380,000","6,914,000","6.86K","-4.33%"
"Jun 12, 2018","7,349,000","7,640,000","7,669,000","7,277,000","6.82K","-3.83%"
"Jun 11, 2018","7,642,000","7,583,000","7,650,000","7,393,000","6.91K","0.78%"
"Jun 10, 2018","7,583,000","8,234,000","8,234,000","7,440,000","7.95K","-7.95%"
"Jun 09, 2018","8,238,000","8,332,000","8,369,000","8,210,000","2.69K","-1.19%"
"Jun 08, 2018","8,337,000","8,365,000","8,375,000","8,270,000","3.63K","-0.33%"
"Jun 07, 2018","8,365,000","8,351,000","8,430,000","8,320,000","3.70K","0.18%"
"Jun 06, 2018","8,350,000","8,349,000","8,400,000","8,207,000","3.90K","0.01%"
"Jun 05, 2018","8,349,000","8,245,000","8,380,000","8,124,000","4.18K","1.18%"
"Jun 04, 2018","8,252,000","8,420,000","8,465,000","8,203,000","4.58K","-2.00%"
"Jun 03, 2018","8,420,000","8,330,000","8,441,000","8,300,000","3.88K","1.09%"
"Jun 02, 2018","8,329,000","8,279,000","8,404,000","8,218,000","4.34K","0.62%"
"Jun 01, 2018","8,278,000","8,274,000","8,350,000","8,123,000","4.51K","0.07%"
"May 31, 2018","8,272,000","8,200,000","8,360,000","8,104,000","5.96K","0.89%"
"May 30, 2018","8,199,000","8,307,000","8,407,000","8,071,000","6.85K","-1.25%"
"May 29, 2018","8,303,000","7,893,000","8,356,000","7,833,000","7.34K","5.26%"
"May 28, 2018","7,888,000","8,175,000","8,266,000","7,863,000","7.09K","-3.49%"
"May 27, 2018","8,173,000","8,164,000","8,210,000","8,050,000","2.98K","0.11%"
"May 26, 2018","8,164,000","8,319,000","8,415,000","8,120,000","3.66K","-1.88%"
"May 25, 2018","8,320,000","8,404,000","8,469,000","8,180,000","6.00K","-0.99%"
"May 24, 2018","8,403,000","8,485,000","8,682,000","8,179,000","8.65K","-0.97%"
"May 23, 2018","8,485,000","8,949,000","9,010,000","8,441,000","9.40K","-5.21%"
"May 22, 2018","8,951,000","9,331,000","9,348,000","8,950,000","6.00K","-4.07%"
"May 21, 2018","9,331,000","9,373,000","9,460,000","9,256,000","5.22K","-0.45%"
"May 20, 2018","9,373,000","9,100,000","9,404,000","9,040,000","4.77K","3.00%"
"May 19, 2018","9,100,000","9,169,000","9,286,000","9,062,000","3.93K","-0.75%"
"May 18, 2018","9,169,000","9,087,000","9,203,000","8,880,000","6.50K","1.10%"
"May 17, 2018","9,069,000","9,300,000","9,380,000","9,005,000","6.82K","-2.52%"
"May 16, 2018","9,303,000","9,509,000","9,530,000","9,031,000","8.85K","-2.17%"
"May 15, 2018","9,509,000","9,790,000","9,859,000","9,471,000","8.64K","-2.87%"
"May 14, 2018","9,790,000","9,807,000","9,930,000","9,397,000","10.16K","-0.19%"
"May 13, 2018","9,809,000","9,491,000","9,841,000","9,343,000","6.33K","3.35%"
"May 12, 2018","9,491,000","9,251,000","9,644,000","9,050,000","9.73K","2.59%"
"May 11, 2018","9,251,000","9,990,000","9,991,000","8,937,000","13.04K","-7.30%"
"May 10, 2018","9,980,000","10,391,000","10,457,000","9,922,000","6.88K","-3.93%"
"May 09, 2018","10,388,000","10,233,000","10,425,000","9,942,000","7.17K","1.51%"
"May 08, 2018","10,233,000","10,437,000","10,489,000","10,117,000","6.55K","-1.95%"
"May 07, 2018","10,437,000","10,680,000","10,696,000","10,260,000","8.43K","-2.31%"
"May 06, 2018","10,684,000","10,829,000","10,959,000","10,491,000","7.59K","-1.33%"
"May 05, 2018","10,828,000","10,662,000","10,892,000","10,617,000","7.09K","1.68%"
"May 04, 2018","10,649,000","10,680,000","10,759,000","10,501,000","8.77K","-0.25%"
"May 03, 2018","10,676,000","10,032,000","10,794,000","10,001,000","13.41K","6.40%"
"May 02, 2018","10,034,000","9,913,000","10,074,000","9,830,000","7.00K","1.21%"
"May 01, 2018","9,914,000","10,119,000","10,144,000","9,743,000","9.30K","-2.04%"
"Apr 30, 2018","10,120,000","10,191,000","10,288,000","9,990,000","10.62K","-0.69%"
"Apr 29, 2018","10,190,000","10,043,000","10,270,000","9,900,000","10.30K","1.46%"
"Apr 28, 2018","10,043,000","9,809,000","10,124,000","9,740,000","8.55K","2.31%"
"Apr 27, 2018","9,816,000","10,132,000","10,175,000","9,760,000","10.06K","-3.12%"
"Apr 26, 2018","10,132,000","9,805,000","10,160,000","9,500,000","15.11K","3.34%"
"Apr 25, 2018","9,805,000","10,538,000","10,744,000","9,714,000","19.39K","-6.96%"
"Apr 24, 2018","10,538,000","9,757,000","10,679,000","9,735,000","15.77K","8.00%"
"Apr 23, 2018","9,757,000","9,594,000","9,757,000","9,552,000","9.32K","1.70%"
"Apr 22, 2018","9,594,000","9,706,000","9,720,000","9,505,000","8.98K","-1.15%"
"Apr 21, 2018","9,706,000","9,570,000","9,820,000","9,272,000","13.38K","1.42%"
"Apr 20, 2018","9,570,000","8,976,000","9,663,000","8,827,000","16.68K","6.62%"
"Apr 19, 2018","8,976,000","8,650,000","9,018,000","8,601,000","15.00K","3.78%"
"Apr 18, 2018","8,649,000","8,464,000","8,670,000","8,455,000","10.47K","2.19%"
"Apr 17, 2018","8,464,000","8,651,000","8,670,000","8,420,000","9.65K","-2.16%"
"Apr 16, 2018","8,651,000","8,647,000","8,820,000","8,456,000","10.50K","-0.07%"
"Apr 15, 2018","8,657,000","8,326,000","8,700,000","8,255,000","9.75K","3.91%"
"Apr 14, 2018","8,331,000","8,376,000","8,549,000","8,151,000","10.36K","-0.49%"
"Apr 13, 2018","8,372,000","8,131,000","8,611,000","7,972,000","18.78K","2.96%"
"Apr 12, 2018","8,131,000","7,422,000","8,284,000","7,250,000","26.32K","9.55%"
"Apr 11, 2018","7,422,000","7,404,000","7,490,000","7,351,000","9.74K","0.24%"
"Apr 10, 2018","7,404,000","7,443,000","7,451,000","7,270,000","7.86K","-0.52%"
"Apr 09, 2018","7,443,000","7,609,000","7,750,000","7,272,000","12.71K","-2.17%"
"Apr 08, 2018","7,608,000","7,524,000","7,666,000","7,498,000","6.98K","1.12%"
"Apr 07, 2018","7,524,000","7,266,000","7,679,000","7,229,000","9.67K","3.57%"
"Apr 06, 2018","7,265,000","7,395,000","7,480,000","7,150,000","9.17K","-1.76%"
"Apr 05, 2018","7,395,000","7,500,000","7,599,000","7,202,000","18.25K","-1.40%"
"Apr 04, 2018","7,500,000","8,095,000","8,112,000","7,412,000","14.34K","-7.35%"
"Apr 03, 2018","8,095,000","7,704,000","8,176,000","7,656,000","15.27K","5.08%"
"Apr 02, 2018","7,704,000","7,469,000","7,816,000","7,397,000","11.31K","3.15%"
"Apr 01, 2018","7,469,000","7,682,000","7,776,000","7,094,000","12.82K","-2.77%"
"Mar 31, 2018","7,682,000","7,594,000","7,928,000","7,530,000","13.02K","1.16%"
"Mar 30, 2018","7,594,000","7,884,000","8,067,000","7,438,000","21.57K","-3.68%"
"Mar 29, 2018","7,884,000","8,719,000","8,755,000","7,763,000","16.38K","-9.59%"
"Mar 28, 2018","8,720,000","8,638,000","8,900,000","8,572,000","8.15K","0.95%"
"Mar 27, 2018","8,638,000","9,045,000","9,119,000","8,522,000","12.25K","-4.50%"
"Mar 26, 2018","9,045,000","9,466,000","9,547,000","8,800,000","12.34K","-4.45%"
"Mar 25, 2018","9,466,000","9,560,000","9,668,000","9,404,000","8.17K","-0.98%"
"Mar 24, 2018","9,560,000","9,855,000","9,936,000","9,537,000","10.93K","-2.99%"
"Mar 23, 2018","9,855,000","9,765,000","9,855,000","9,271,000","13.39K","0.92%"
"Mar 22, 2018","9,765,000","9,916,000","10,056,000","9,496,000","12.93K","-1.52%"
"Mar 21, 2018","9,916,000","9,828,000","10,144,000","9,746,000","17.17K","0.90%"
"Mar 20, 2018","9,828,000","9,707,000","10,009,000","9,135,000","21.20K","1.25%"
"Mar 19, 2018","9,707,000","8,985,000","9,738,000","8,900,000","24.36K","8.04%"
"Mar 18, 2018","8,985,000","8,653,000","9,057,000","8,064,000","20.33K","3.84%"
"Mar 17, 2018","8,653,000","9,063,000","9,150,000","8,550,000","11.29K","-4.70%"
"Mar 16, 2018","9,080,000","9,100,000","9,324,000","8,767,000","15.85K","-0.12%"
"Mar 15, 2018","9,091,000","9,141,000","9,305,000","8,455,000","25.10K","-0.55%"
"Mar 14, 2018","9,141,000","10,139,000","10,270,000","8,935,000","22.06K","-9.84%"
"Mar 13, 2018","10,139,000","10,206,000","10,380,000","9,873,000","18.90K","-0.66%"
"Mar 12, 2018","10,206,000","10,493,000","10,852,000","9,872,000","20.21K","-2.74%"
"Mar 11, 2018","10,493,000","9,892,000","10,670,000","9,560,000","18.54K","6.34%"
"Mar 10, 2018","9,867,000","10,370,000","10,540,000","9,801,000","15.57K","-4.85%"
"Mar 09, 2018","10,370,000","10,470,000","10,628,000","9,310,000","28.35K","-0.96%"
"Mar 08, 2018","10,470,000","11,146,000","11,308,000","10,450,000","20.21K","-6.06%"
"Mar 07, 2018","11,146,000","11,997,000","12,220,000","10,900,000","23.86K","-7.05%"
"Mar 06, 2018","11,992,000","12,715,000","12,715,000","11,903,000","15.67K","-5.83%"
"Mar 05, 2018","12,734,000","12,569,000","12,878,000","12,460,000","13.39K","1.31%"
"Mar 04, 2018","12,569,000","12,799,000","12,817,000","12,253,000","16.13K","-1.80%"
"Mar 03, 2018","12,799,000","12,441,000","12,806,000","12,388,000","14.96K","2.88%"
"Mar 02, 2018","12,441,000","12,186,000","12,550,000","12,134,000","19.48K","2.09%"
"Mar 01, 2018","12,186,000","11,831,000","12,268,000","11,600,000","12.61K","3.08%"
"Feb 28, 2018","11,822,000","11,922,000","12,394,000","11,770,000","17.79K","-0.84%"
"Feb 27, 2018","11,922,000","11,745,000","12,147,000","11,465,000","19.41K","1.51%"
"Feb 26, 2018","11,745,000","11,209,000","11,900,000","10,812,000","21.55K","4.79%"
"Feb 25, 2018","11,208,000","11,522,000","11,579,000","10,813,000","15.17K","-2.74%"
"Feb 24, 2018","11,524,000","12,049,000","12,339,000","11,250,000","19.26K","-4.36%"
"Feb 23, 2018","12,049,000","11,725,000","12,187,000","11,290,000","24.97K","2.76%"
"Feb 22, 2018","11,725,000","12,808,000","13,037,000","11,660,000","28.50K","-8.46%"
"Feb 21, 2018","12,808,000","13,516,000","13,622,000","12,350,000","34.29K","-5.24%"
"Feb 20, 2018","13,516,000","12,663,000","14,145,000","12,660,000","28.88K","6.74%"
"Feb 19, 2018","12,663,000","11,961,000","12,687,000","11,840,000","16.45K","5.87%"
"Feb 18, 2018","11,961,000","12,353,000","12,750,000","11,501,000","31.02K","-3.23%"
"Feb 17, 2018","12,360,000","11,431,000","12,370,000","11,370,000","22.60K","8.13%"
"Feb 16, 2018","11,431,000","11,370,000","11,720,000","11,150,000","11.88K","0.54%"
"Feb 15, 2018","11,370,000","10,469,000","11,471,000","10,382,000","17.22K","8.61%"
"Feb 14, 2018","10,469,000","9,878,000","10,499,000","9,855,000","12.32K","5.98%"
"Feb 13, 2018","9,878,000","10,137,000","10,200,000","9,651,000","9.64K","-2.55%"
"Feb 12, 2018","10,137,000","9,302,000","10,220,000","9,299,000","11.77K","8.98%"
"Feb 11, 2018","9,302,000","9,928,000","9,959,000","9,038,000","13.24K","-6.31%"
"Feb 10, 2018","9,928,000","9,970,000","10,680,000","9,501,000","16.76K","-0.42%"
"Feb 09, 2018","9,970,000","9,473,000","9,984,000","9,061,000","14.55K","5.25%"
"Feb 08, 2018","9,473,000","8,382,000","9,620,000","8,373,000","15.43K","13.23%"
"Feb 07, 2018","8,366,000","8,583,000","9,197,000","7,970,000","16.25K","-2.54%"
"Feb 06, 2018","8,584,000","7,807,000","8,701,000","6,601,000","24.47K","9.95%"
"Feb 05, 2018","7,807,000","8,967,000","9,200,000","7,635,000","15.34K","-12.94%"
"Feb 04, 2018","8,967,000","9,538,000","10,095,000","8,736,000","11.85K","-5.99%"
"Feb 03, 2018","9,538,000","9,415,000","9,980,000","8,500,000","11.66K","1.31%"
"Feb 02, 2018","9,415,000","10,061,000","10,083,000","7,687,000","23.70K","-6.42%"
"Feb 01, 2018","10,061,000","11,450,000","11,477,000","9,912,000","12.55K","-12.13%"
"Jan 31, 2018","11,450,000","11,581,000","11,716,000","10,575,000","9.71K","-1.13%"
"Jan 30, 2018","11,581,000","12,847,000","12,930,000","11,358,000","9.34K","-9.85%"
"Jan 29, 2018","12,847,000","13,299,000","13,430,000","12,581,000","7.95K","-3.33%"
"Jan 28, 2018","13,289,000","12,861,000","13,510,000","12,820,000","10.78K","3.33%"
"Jan 27, 2018","12,861,000","12,871,000","13,020,000","12,323,000","9.76K","-0.08%"
"Jan 26, 2018","12,871,000","12,934,000","13,153,000","11,520,000","16.03K","-0.49%"
"Jan 25, 2018","12,934,000","13,489,000","13,840,000","12,751,000","10.84K","-3.98%"
"Jan 24, 2018","13,470,000","13,094,000","13,647,000","12,577,000","14.45K","2.87%"
"Jan 23, 2018","13,094,000","13,973,000","14,017,000","12,290,000","16.79K","-6.29%"
"Jan 22, 2018","13,973,000","14,521,000","14,818,000","12,830,000","15.69K","-3.77%"
