"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2019","104.83","105.22","106.91","104.74","2.91M","1.20%"
"Aug 28, 2019","103.59","102.96","105.30","102.26","2.65M","-0.24%"
"Aug 27, 2019","103.84","104.78","106.61","103.35","3.53M","0.04%"
"Aug 26, 2019","103.80","102.80","104.86","102.51","3.12M","1.91%"
"Aug 23, 2019","101.85","103.40","105.57","101.55","6.13M","-3.41%"
"Aug 22, 2019","105.45","105.77","106.70","103.46","5.93M","-2.27%"
"Aug 21, 2019","107.90","109.61","109.90","105.34","6.47M","-0.75%"
"Aug 20, 2019","108.72","112.08","113.40","108.56","14.26M","4.32%"
"Aug 19, 2019","104.22","100.00","105.30","100.00","11.67M","7.78%"
"Aug 16, 2019","96.70","95.28","97.40","94.14","5.93M","2.49%"
"Aug 15, 2019","94.35","95.55","95.90","93.39","3.69M","-0.53%"
"Aug 14, 2019","94.85","95.21","96.47","93.91","4.71M","-2.60%"
"Aug 13, 2019","97.38","94.22","99.00","93.88","4.42M","2.42%"
"Aug 12, 2019","95.08","96.24","96.52","94.88","3.06M","-2.34%"
"Aug 09, 2019","97.36","99.17","99.25","96.61","3.01M","-2.53%"
"Aug 08, 2019","99.89","99.38","99.94","98.53","3.56M","0.71%"
"Aug 07, 2019","99.19","98.39","101.11","97.77","3.78M","-0.49%"
"Aug 06, 2019","99.68","101.68","102.00","99.26","5.32M","-0.47%"
"Aug 05, 2019","100.15","104.01","104.09","99.28","6.95M","-7.06%"
"Aug 02, 2019","107.76","108.22","109.56","106.89","3.39M","-1.33%"
"Aug 01, 2019","109.21","111.53","112.97","108.75","5.22M","-2.23%"
"Jul 31, 2019","111.70","112.50","113.26","110.75","2.81M","-0.93%"
"Jul 30, 2019","112.75","112.50","113.33","111.75","2.97M","-0.62%"
"Jul 29, 2019","113.45","113.75","114.10","112.45","2.55M","-0.67%"
"Jul 26, 2019","114.22","115.01","115.27","114.02","1.68M","-0.22%"
"Jul 25, 2019","114.47","116.23","116.26","113.99","2.08M","-1.64%"
"Jul 24, 2019","116.38","114.80","116.76","113.61","3.82M","1.08%"
"Jul 23, 2019","115.14","112.27","115.25","112.24","4.42M","3.08%"
"Jul 22, 2019","111.70","112.25","113.15","111.45","2.33M","-0.49%"
"Jul 19, 2019","112.25","112.85","113.70","112.18","3.30M","0.41%"
"Jul 18, 2019","111.79","113.19","113.49","111.60","3.91M","-1.58%"
"Jul 17, 2019","113.58","114.01","114.40","113.52","2.00M","-0.57%"
"Jul 16, 2019","114.23","115.50","115.60","113.70","2.59M","-1.21%"
"Jul 15, 2019","115.63","115.01","116.05","114.52","2.40M","0.64%"
"Jul 12, 2019","114.90","114.85","115.65","114.11","2.56M","0.13%"
"Jul 11, 2019","114.75","114.69","115.24","114.14","1.76M","0.31%"
"Jul 10, 2019","114.40","116.16","116.76","114.04","2.53M","-0.35%"
"Jul 09, 2019","114.80","112.35","114.95","112.10","2.13M","1.41%"
"Jul 08, 2019","113.20","114.99","114.99","113.14","3.32M","-2.66%"
"Jul 05, 2019","116.29","117.21","117.80","115.26","3.03M","-1.91%"
"Jul 03, 2019","118.56","120.20","120.20","116.94","2.46M","-0.66%"
"Jul 02, 2019","119.35","118.15","119.41","117.22","2.56M","1.14%"
"Jul 01, 2019","118.01","121.49","121.80","117.37","3.73M","0.55%"
"Jun 28, 2019","117.36","116.01","117.52","115.38","3.45M","1.14%"
"Jun 27, 2019","116.04","116.31","116.75","114.62","2.00M","0.23%"
"Jun 26, 2019","115.77","114.58","116.95","114.22","3.64M","2.22%"
"Jun 25, 2019","113.26","115.57","115.90","112.40","3.45M","-2.95%"
"Jun 24, 2019","116.70","117.29","117.29","115.57","1.77M","-0.18%"
"Jun 21, 2019","116.91","117.80","118.03","116.08","3.92M","-1.17%"
"Jun 20, 2019","118.30","120.00","121.07","117.50","3.47M","0.42%"
